lon,lat,z_bed_m_ngf
1.853826,45.815088,649.56
1.854143,45.815099,649.94
1.854446,45.815039,648.86
1.854768,45.815037,648.93
1.855090,45.815023,649.32
1.855411,45.815007,649.92
1.855728,45.814977,649.85
1.855976,45.814845,649.08
1.856288,45.814804,649.73
1.856608,45.814828,649.31
1.856906,45.814898,648.87
1.857143,45.815022,649.41
1.857455,45.815075,649.04
1.857770,45.815095,649.53
1.857889,45.815253,649.85
1.858001,45.815433,648.92
1.858117,45.815630,648.90
1.858145,45.815854,649.21
1.858135,45.816078,648.98
1.858102,45.816301,648.97
1.858071,45.816525,649.22
1.858097,45.816743,649.80
1.858378,45.816830,649.86
1.858688,45.816892,649.22
1.858997,45.816955,650.16
1.859305,45.816957,649.65
1.859611,45.816893,649.20
1.859918,45.816952,649.63
1.860064,45.817115,650.15
1.860144,45.817295,650.21
1.860316,45.817484,650.26
1.860467,45.817682,649.99
1.860617,45.817881,650.77
1.860818,45.818006,649.32
1.861138,45.818009,649.32
1.861412,45.818122,649.32
1.861644,45.818277,649.30
1.861895,45.818418,649.32
1.862138,45.818564,648.90
1.862430,45.818649,649.32
1.862748,45.818684,649.14
1.862900,45.818552,649.32
1.863098,45.818375,648.91
1.863263,45.818183,648.98
1.863487,45.818048,649.32
1.863702,45.817884,649.01
1.863950,45.817741,649.32
1.864250,45.817664,649.32
1.864524,45.817601,649.23
1.864432,45.817388,649.32
1.864376,45.817169,649.32
1.864464,45.816956,648.87
1.864383,45.816747,649.32
1.864252,45.816545,649.32
1.864071,45.816359,649.32
1.863854,45.816193,648.98
1.863657,45.816016,649.44
1.863479,45.815829,648.95
1.863312,45.815637,648.94
1.863172,45.815435,649.32
1.863041,45.815230,649.32
1.862955,45.815014,649.32
1.862932,45.814791,649.32
1.862942,45.814567,649.32
1.862963,45.814344,649.32
1.862884,45.814128,649.32
1.862907,45.813906,648.86
1.862863,45.813686,648.90
1.862703,45.813498,649.14
1.862406,45.813441,648.97
1.862113,45.813515,649.32
1.861836,45.813412,648.88
1.861616,45.813248,649.32
1.861409,45.813076,648.86
1.861199,45.812907,649.32
1.860905,45.812839,648.92
1.860606,45.812905,648.98
1.860299,45.812966,648.92
1.859992,45.812917,649.32
1.859772,45.812755,649.32
1.859640,45.812551,648.88
1.859540,45.812337,649.16
1.859427,45.812127,649.32
1.859359,45.811908,648.86
1.859343,45.811684,649.32
1.859345,45.811460,649.32
1.859402,45.811239,649.32
1.859474,45.811020,649.32
1.859566,45.810805,648.89
1.859704,45.810603,648.86
1.859874,45.810413,649.32
1.859986,45.810204,649.32
1.860152,45.810015,649.32
1.860347,45.809837,649.32
1.860489,45.809639,649.32
1.860583,45.809425,649.32
1.860630,45.809203,649.32
1.860712,45.808994,649.32
1.860897,45.808811,648.89
1.861095,45.808634,649.32
1.861323,45.808476,649.32
1.861572,45.808333,649.32
1.861829,45.808198,649.32
1.862140,45.808213,649.32
1.862414,45.808321,649.01
1.862561,45.808516,649.37
1.862491,45.808730,648.91
1.862315,45.808918,649.32
1.862199,45.809126,648.91
1.862191,45.809346,649.15
1.862470,45.809416,648.89
1.862783,45.809367,649.08
1.863097,45.809318,648.92
1.863409,45.809359,649.02
1.863587,45.809540,649.20
1.863676,45.809755,649.69
1.863959,45.809781,649.32
1.864276,45.809792,649.32
1.864552,45.809781,648.98
1.864771,45.809617,649.32
1.865051,45.809511,649.32
1.865361,45.809450,648.86
1.865680,45.809429,648.87
1.865988,45.809482,648.98
1.866245,45.809616,648.94
1.866464,45.809780,649.30
1.866622,45.809975,649.32
1.866742,45.810183,649.32
1.866900,45.810371,648.96
1.867215,45.810400,649.17
1.867537,45.810404,648.96
1.867858,45.810419,648.98
1.868179,45.810438,649.32
1.868498,45.810471,648.95
1.868807,45.810532,648.99
1.869084,45.810644,649.51
1.869269,45.810818,649.49
1.869213,45.811037,649.64
1.869285,45.811251,649.33
1.869423,45.811453,649.14
1.869484,45.811673,648.89
1.869518,45.811896,649.51
1.869579,45.812116,649.07
1.869710,45.812318,649.12
1.869938,45.812475,649.24
1.870156,45.812640,648.90
1.870345,45.812822,648.86
1.870509,45.813015,649.32
1.870536,45.813238,649.44
1.870527,45.813462,649.65
1.870470,45.813683,649.07
1.870522,45.813892,649.73
1.870810,45.813813,648.95
1.871103,45.813760,649.32
1.871339,45.813900,649.23
1.871367,45.814120,649.42
1.871328,45.814343,649.17
1.871248,45.814560,649.54
1.871295,45.814770,649.27
1.871592,45.814811,648.85
1.871695,45.814602,649.32
1.871790,45.814388,648.86
1.871983,45.814209,649.32
1.872221,45.814058,649.32
1.872483,45.813928,648.85
1.872747,45.813800,648.95
1.872994,45.813655,649.09
1.873210,45.813490,648.87
1.873361,45.813296,649.03
1.873334,45.813080,648.88
1.873086,45.812958,648.94
1.872788,45.813036,649.11
1.872501,45.813138,649.80
1.872199,45.813211,649.04
1.871898,45.813152,649.79
1.871653,45.813008,648.91
1.871480,45.812818,649.06
1.871351,45.812613,649.02
1.871265,45.812397,648.90
1.871207,45.812177,649.00
1.871167,45.811954,649.05
1.871139,45.811730,649.32
1.871123,45.811506,648.92
1.871114,45.811281,649.02
1.871144,45.811059,649.32
1.871252,45.810847,648.89
1.871402,45.810649,649.32
1.871564,45.810455,649.32
1.871721,45.810259,650.31
1.871899,45.810072,649.83
1.872085,45.809889,648.92
1.872246,45.809695,649.02
1.872436,45.809515,649.00
1.872691,45.809379,649.32
1.872979,45.809281,649.32
1.873295,45.809252,648.97
1.873588,45.809340,649.32
1.873841,45.809478,649.16
1.874025,45.809660,649.19
1.874052,45.809878,648.96
1.873879,45.810063,648.95
1.873782,45.810275,649.32
1.873845,45.810495,649.32
1.873909,45.810715,648.86
1.873966,45.810936,648.90
1.873993,45.811159,649.32
1.873931,45.811379,649.32
1.873934,45.811600,649.32
1.873909,45.811817,649.33
1.873697,45.811985,650.46
1.873571,45.812188,648.95
1.873743,45.812369,648.93
1.874049,45.812396,648.96
1.874345,45.812475,649.05
1.874606,45.812368,649.32
1.874798,45.812188,649.32
1.875025,45.812029,649.32
1.875314,45.811932,649.32
1.875629,45.811899,649.06
1.875949,45.811903,648.94
1.876252,45.811830,649.13
1.876541,45.811731,649.32
1.876842,45.811650,648.85
1.877155,45.811603,648.97
1.877476,45.811607,648.99
1.877785,45.811669,648.97
1.878075,45.811766,648.89
1.878346,45.811886,649.07
1.878600,45.812023,649.10
1.878661,45.812239,649.65
1.878571,45.812454,650.05
1.878680,45.812610,649.27
1.878964,45.812529,649.24
1.879148,45.812345,649.27
1.879320,45.812155,649.19
1.879482,45.811961,649.28
1.879641,45.811766,649.13
1.879650,45.811548,649.07
1.879726,45.811353,649.19
1.879614,45.811170,649.36
1.879528,45.810984,649.23
1.879479,45.810766,649.41
1.879237,45.810708,649.46
1.879067,45.810872,650.00
1.878939,45.811073,652.00
1.878655,45.811166,649.13
1.878348,45.811129,649.32
1.878111,45.810980,649.14
1.877895,45.810813,649.21
1.877622,45.810710,650.14
1.877302,45.810722,650.66
1.876987,45.810767,649.85
1.876675,45.810733,649.00
1.876429,45.810589,648.85
1.876171,45.810457,648.90
1.875864,45.810390,648.90
1.875603,45.810262,649.32
1.875463,45.810061,648.94
1.875405,45.809841,648.91
1.875380,45.809617,649.22
1.875365,45.809393,648.89
1.875342,45.809169,648.94
1.875316,45.808945,648.94
1.875307,45.808720,649.32
1.875313,45.808496,648.89
1.875358,45.808274,650.46
1.875409,45.808052,649.16
1.875346,45.807839,649.32
1.875154,45.807658,649.62
1.875041,45.807454,649.62
1.875131,45.807240,649.23
1.875247,45.807031,649.92
1.875379,45.806826,649.37
1.875534,45.806630,650.33
1.875695,45.806435,649.18
1.875894,45.806260,649.10
1.876163,45.806148,649.32
1.876443,45.806231,648.93
1.876743,45.806303,649.21
1.877063,45.806323,648.98
1.877378,45.806286,649.38
1.877669,45.806191,649.44
1.877906,45.806043,649.38
1.877972,45.805826,648.89
1.877974,45.805601,649.32
1.877974,45.805377,649.32
1.877979,45.805152,649.37
1.878045,45.804935,648.90
1.878326,45.804843,649.62
1.878493,45.804729,649.55
1.878265,45.804574,648.92
1.878021,45.804428,649.05
1.877827,45.804252,649.24
1.877898,45.804042,652.77
1.877771,45.803846,652.72
1.877528,45.803700,651.69
1.877240,45.803601,650.09
1.876989,45.803467,649.24
1.876817,45.803276,649.31
1.876653,45.803083,648.98
1.876504,45.802884,648.88
1.876353,45.802686,649.30
1.876194,45.802491,648.85
1.876024,45.802300,648.88
1.875826,45.802123,649.32
1.875595,45.801967,649.32
1.875392,45.801793,648.86
1.875223,45.801602,648.94
1.875087,45.801399,649.32
1.874976,45.801188,648.90
1.874893,45.800971,648.92
1.874895,45.800747,649.63
1.874930,45.800525,650.11
1.874818,45.800320,648.99
1.874630,45.800139,649.42
1.874506,45.799932,649.37
1.874378,45.799726,649.88
1.874223,45.799529,648.99
1.874057,45.799337,648.98
1.873939,45.799128,649.32
1.873860,45.798912,648.96
1.873832,45.798688,648.94
1.873807,45.798464,648.85
1.873786,45.798240,648.91
1.873752,45.798017,649.05
1.873725,45.797793,649.03
1.873727,45.797569,649.43
1.873724,45.797345,648.92
1.873697,45.797121,649.32
1.873701,45.796896,649.32
1.873742,45.796674,649.32
1.873870,45.796469,648.90
1.874008,45.796266,649.15
1.874176,45.796074,649.32
1.874379,45.795900,649.32
1.874616,45.795748,648.93
1.874789,45.795563,649.17
1.874694,45.795353,648.89
1.874652,45.795133,649.32
1.874629,45.794910,648.88
1.874667,45.794687,649.32
1.874730,45.794467,649.24
1.874809,45.794249,649.11
